コード,銘柄名,市場
5631-T,日製鋼,東証1部
5632-T,菱製鋼,東証1部
5658-T,日亜鋼,東証1部
5659-T,日精線,東証1部
5702-T,大紀アルミ,東証1部
5703-T,日軽金HD,東証1部
5706-T,三井金,東証1部
5707-T,東邦鉛,東証1部
5711-T,三菱マ,東証1部
5713-T,住友鉱,東証1部
5714-T,DOWA,東証1部
5715-T,古河機,東証1部
5721-T,S･サイエンス,東証1部
5726-T,大阪チタ,東証1部
5727-T,邦チタニウム,東証1部
5741-T,UACJ,東証1部
5801-T,古河電,東証1部
5802-T,住友電,東証1部
5803-T,フジクラ,東証1部
5805-T,昭電線HD,東証1部
5807-T,東特線,東証1部
5809-T,タツタ線,東証1部
